country,opponent,commence_time,venue,p_win,closeness,trends_interest_per_capita,game_weight_for_country
Croatia,England,2026-06-17T20:00:00Z,away,0.2001177012935424,0.910285804715173,36000000.0,327.70288969746224
Austria,Jordan,2026-06-17T04:00:00Z,home,0.7105460123583158,0.7224298025551159,45000000.0,325.0934111498022
Panama,England,2026-06-27T21:00:00Z,home,0.0780333562283418,0.6165365018763684,48400000.0,298.40366690816234
Croatia,Panama,2026-06-23T23:00:00Z,away,0.6259018993254886,0.8272613519351831,36000000.0,297.8140866966659
Norway,Iraq,2026-06-16T22:00:00Z,away,0.7672700441709484,0.6305429011823727,38500000.0,242.75901695521347
Haiti,Brazil,2026-06-20T01:00:00Z,away,0.0246882836935672,0.3416262160970277,68400000.0,233.67233181036696
Uruguay,Spain,2026-06-27T00:00:00Z,home,0.1834453216576465,0.8834038776424702,20400000.0,180.21439103906394
Uruguay,Saudi Arabia,2026-06-15T22:00:00Z,away,0.6285572477089322,0.8273040771552523,20400000.0,168.77003173967148
Uruguay,Cape Verde,2026-06-21T22:00:00Z,home,0.6533966521117216,0.7970538613210656,20400000.0,162.59898770949738
Curaçao,Ivory Coast,2026-06-25T20:00:00Z,home,0.1003008043429028,0.7114477822386777,5735000.0,40.80153031138816
Curaçao,Ecuador,2026-06-21T00:00:00Z,away,0.076209311183934,0.6351646333335227,5735000.0,36.42669172167752
Curaçao,Germany,2026-06-14T17:00:00Z,away,0.0191179987471047,0.2782237410495119,5735000.0,15.956131549189507
Cape Verde,Saudi Arabia,2026-06-27T00:00:00Z,home,0.334715669565266,0.9940743100832174,580000.0,5.765630998482661
Cape Verde,Uruguay,2026-06-21T22:00:00Z,away,0.1320533825842006,0.7970538613210656,580000.0,4.622912395662181
Cape Verde,Spain,2026-06-15T16:00:00Z,away,0.0339452023859962,0.4073975781286083,580000.0,2.362905953145928
